works,value,students,classWidth,classLength
1,3.646030186860729,9,20,27
1,3.6189046726558813,9,20,27
1,3.618904467567045,9,20,27
1,4.226459240930666,9,20,27
1,15.613875972546339,9,20,27
1,3.6189048510297246,10,20,27
1,3.6189044592309183,10,20,27
1,8.197180915231428,10,20,27
1,3.618904449787888,10,20,27
1,3.6189046648795693,10,20,27
1,3.6189048045412906,11,20,27
1,9.163745031249293,11,20,27
1,3.618905090476571,11,20,27
1,3.618905272512556,11,20,27
1,4.226459148653147,11,20,27
1,3.6189046297212264,12,20,27
1,5.294161823373481,12,20,27
1,8.197180554114507,12,20,27
1,3.6189051209216965,12,20,27
1,5.294161794704354,12,20,27
1,3.6189050441676844,13,20,27
1,3.61890458217081,13,20,27
1,5.294161730697728,13,20,27
1,3.6189045007377687,13,20,27
1,5.8122798474015935,13,20,27
1,8.222024342367902,14,20,27
1,5.294162545119313,14,20,27
1,3.618904400960332,14,20,27
1,5.294161992585704,14,20,27
1,3.618905105133108,14,20,27
1,3.6189044895294846,15,20,27
1,5.294161804675783,15,20,27
1,3.618905258571239,15,20,27
1,3.6189045476962254,15,20,27
1,16.09608415778271,15,20,27
1,3.618904924968391,16,20,27
1,9.163745061175897,16,20,27
1,3.6189048145792646,16,20,27
1,3.6189050712977684,16,20,27
1,5.294161713834503,16,20,27
1,3.6189049577753227,17,20,27
1,3.618904441126648,17,20,27
1,3.618904544066413,17,20,27
1,3.61890471001894,17,20,27
1,3.6189047819836357,17,20,27
1,9.163745105478679,18,20,27
1,5.294161726933571,18,20,27
1,3.618904562005775,18,20,27
1,3.6189044947710207,18,20,27
1,14.216288209480732,18,20,27
1,3.646030604878545,19,20,27
1,3.6189048153068892,19,20,27
1,3.618904833377507,19,20,27
1,5.294161738737445,19,20,27
1,3.618904803950117,19,20,27
1,5.2941618885305,5,20,28
1,3.6189048050752497,5,20,28
1,3.618904647407556,5,20,28
1,3.618904511830489,5,20,28
1,14.216287913859686,5,20,28
1,3.6189045274456326,6,20,28
1,5.294162223794953,6,20,28
1,3.61890497504729,6,20,28
1,3.618904955849606,6,20,28
1,5.294161773152704,6,20,28
1,3.6189044909114205,7,20,28
1,3.618904717713101,7,20,28
1,14.216287761273103,7,20,28
1,3.6189044627094087,7,20,28
1,3.618904996913136,7,20,28
1,3.6460300072401592,8,20,28
1,5.294163836223957,8,20,28
1,3.6189047056797694,8,20,28
1,3.6189047453119283,8,20,28
1,3.6189044958357526,8,20,28
1,5.294162157943341,9,20,28
1,3.618905289943193,9,20,28
1,4.2264592628662925,9,20,28
1,3.618904963438817,9,20,28
1,3.618904820804082,9,20,28
1,5.294161592127128,10,20,28
1,3.6189048170996396,10,20,28
1,3.6189048680322506,10,20,28
1,5.294163708213782,10,20,28
1,3.6189082831069674,10,20,28
1,5.294161773054559,11,20,28
1,3.6189050078995844,11,20,28
1,9.163745424617908,11,20,28
1,5.294161799894709,11,20,28
1,8.197180640447238,11,20,28
1,3.618904753039193,12,20,28
1,5.2941615893219875,12,20,28
1,4.2264602043725885,12,20,28
1,3.6189047474526292,12,20,28
1,3.6189048036558864,12,20,28
1,3.6189050538308365,13,20,28
1,3.6189048123228487,13,20,28
1,3.61890465191996,13,20,28
1,3.618905014135162,13,20,28
1,4.226461206408435,13,20,28
